UIDNFTN;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;VEDOM;PHONE;OKRUG;RAYON;TYPE;LENGTH_KM;LEN_SVET;MODDATE;MODUSER;LAT;LON
16378;Коровинское ш., вл.25;Лыжная трасса;Коровинское шоссе;37,525186;55,878066;;;;;;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;(985) 411-46-45;САО;Дмитровский;Лыжные трассы и базы (сезонные);2;2;0;;55.878066;37.525186
10354;Битцевский лесопарк;Лыжная трасса;Улица Рокотова, дом 1/12;37,556105;55,610375;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 724-52-12;ЮЗАО;Ясенево;Лыжные трассы и базы (сезонные);5;0;0;;55.610375;37.556105
18412;"Лесной массив, 8-й микрорайон,( 20-21 кварталы ""Крюковского"" лесопарка)";Лыжная трасса;"Лесной массив, 8-й микрорайон,( 20-21 кварталы ""Крюковского"" лесопарка)";37,192929;55,976523;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 731-14-05;ЗелАО;Старое Крюково;лыжные трассы и базы (сезонные);3;0;0;;55.976523;37.192929
18413;Парк Ровестник, 5-й микрорайон;Лыжная трасса;Парк Ровестник, 5-й микрорайон;37,226144;56,000125;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 734-53-04;ЗелАО;Савелки;лыжные трассы и базы (сезонные);1,2;1,2;0;;56.000125;37.226144
18414;"Лесопарковая зона, 1-й микрорайон (5 квартал ""Крюковского"" лесопарка)";Лыжная трасса;"Лесопарковая зона, 1-й микрорайон (5 квартал ""Крюковского"" лесопарка)";37,211727;56,00859;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 736-05-05;ЗелАО;Матушкино;лыжные трассы и базы (сезонные);2,5;0;0;;56.00859;37.211727
18415;ПИП Измайлово;Лыжная трасса;12-я Парковая;37,810474;55,78844;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 465-04-45;ВАО;Восточное Измайлово;Лыжные трассы и базы (сезонные);5;0;0;;55.78844;37.810474
18416;"ПКиО ""Измайловский""";Лыжная трасса;Центральная и южная часть парка;37,792258;55,775943;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 166-36-55;ВАО;Измайлово;Лыжные трассы и базы (сезонные);8;8;0;;55.775943;37.792258
18417;ПИП Измайлово;Лыжная трасса;ПИП «Измайлово» начало маршрута улица 3-я Владимирская, пересечение с шоссе Энтузиастов;37,782987;55,767243;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 465-04-45;ВАО;Измайлово;Лыжные трассы и базы (сезонные);3,2;0;0;;55.767243;37.782987
17759;Черкизовский парк;Лыжная трасса;Улица Большая Черкизовская,     дом 23;37,737892;55,803585;;;;;;Департамент образования города Москвы;(499) 780-25-39;ВАО;Преображенское;Лыжные трассы и базы (сезонные);1,4;1,4;0;;55.803585;37.737892
17045;Парк Сиреневый сад;Лыжная трасса;Щелковское шоссе, дом 12;37,763998;55,804196;;;;;;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;(985) 411-46-45;ВАО;Северное Измайлово;Лыжные трассы и базы (сезонные);2,2;2,2;0;;55.804196;37.763998
17410;территория МосГУ;Лыжная трасса;Улица Юности,           дом 5/1;37,81309;55,730207;;;;;;Федеральная;(495) 370-22-20;ВАО;Вешняки;Лыжные трассы и базы (сезонные);1,5;1,5;0;;55.730207;37.81309
16305;Ивановский лесопарк;Лыжная трасса;Свободный проспект,      дом 11;37,823192;55,759958;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 918-98-40;ВАО;Ивановское;Лыжные трассы и базы (сезонные);3;3;0;;55.759958;37.823192
16304;Зона отдыха Серебряно-Виноградные пруды;Лыжная трасса;Измайловский проспект, дом 1;37,766688;55,794911;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 672-94-73;ВАО;Измайлово;Лыжные трассы и базы (сезонные);2,5;2,5;0;;55.794911;37.766688
16708;Озеро Святое;Лыжная трасса;Улица Салтыковская;37,87129;55,716832;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 797-50-10;ВАО;Косино-Ухтомский;Лыжные трассы и базы (сезонные);2;0;0;;55.716832;37.87129
16888;"ПИП ""Измайлово""";Лыжная трасса;вход с улицы 5-я Парковая;37,788217;55,787081;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 367-36-81;ВАО;Измайлово;Лыжные трассы и базы (сезонные);1;0;0;;55.787081;37.788217
17433;Улица Сухонская, д. 19;Лыжная трасса;Улица Сухонская,                                дом 19;37,656718;55,880585;;;;;;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;(495) 621-88-68;СВАО;Северное Медведково;Лыжные трассы и базы (сезонные);1,7;1,7;0;;55.880585;37.656718
16406;Лесопарк Кусково;Лыжная трасса;Рассветная аллея,   квартал 2;37,774095;55,734027;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 367-89-18;ВАО;Вешняки;Лыжные трассы и базы (сезонные);2,2;1;0;;55.734027;37.774095
16886;ПИП Измайлово;Лыжная трасса;16- Парковая, дом 4А;37,825582;55,79691;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 465-04-45;ВАО;Восточное Измайлово;Лыжные трассы и базы (сезонные);3;0;0;;55.79691;37.825582
16959;Поселок Акулово;Лыжная трасса;Поселок    Акулово,  дом 24;37,793215;56,007378;;;;;;Префектура;(499) 780-67-69;ВАО;Восточный;Лыжные трассы и базы (сезонные);5;0;0;;56.007378;37.793215
11115;"Горенский лесопарк, ГБУ ЦСП ""Измайлово""";Лыжная трасса;Улица Западная, дом 16 Б;37,922467;55,800482;;;;;;Департамент физической культуры и спорта города Москвы;(499) 780-15-82;ВАО;Восточный;Лыжные трассы и базы (сезонные);7,5;0;0;;55.800482;37.922467
18289;Южный парк;Лыжная трасса;Территория между улицей 9 Мая и улицей Западная;37,87219;55,816162;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 780-97-05;ВАО;Восточный;Лыжные трассы и базы (сезонные);2,5;0;0;;55.816162;37.87219
