NO;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;VED_SUBJ;AREA;LENGTH;WIDTH;LAT;LON
2;"ГЛС ""Крылатские холмы"" (СДЮСШОР ЦСКА Министерства обороны РФ)";;Рублевское шоссе, дом 24, корпус 5;-4136,279725;8681,459002;0;;;;;Федеральная собственность;12500;250;50;55.74491284470441;37.43239375106732
3;"ГБОУ ДОДСН ""ДЮСШ"" РГШ-Столица"" ГЛС ""Узское""";;Севастопольский проспект, дом 66;2621,93135;-4591,198025;0;;;;;Москомспорт;4000;200;20;55.625712431879435;37.53988177836173
4;"ГЛС ""Воробьевы горы""";;ул.Косыгина дом 28, строение 1;2915,043175;4623,773572;0;;;;;Москомспорт;4600;230;20;55.7084782076452;37.54462884865976
5;"ГЛС ""Крылатское"" (ЗАО ""Лата-Трэк"")";;ул.Крылатская, дом 1;-4441,478543;9295,128197;0;;;;;Частная собственность;6250;250;25;55.75042187654112;37.42752392467268
6;"ГБОУ ДОДСН ""ДЮСШ"" РГШ-Столица"" ГЛС ""Северное Бутово""";;Старокачаловская, дом 22;5450,723374;-10754,32361;0;;;;;Москомспорт;1200;120;10;55.57033284097351;37.584667892245264
1;"ГБОУ ДОДСН ""ДЮСШ"" РГШ-Столица"" ГЛС ""Куркино""";;Долина реки Сходня, ул.Ландышевая;37,386686;55,881482;0;;;;;Москомспорт;3400;100;34;55.881482;37.386686
8;"ГЛС Московские альпы (ООО СК-""Кант"")";;Электролитный проезд, владение 76;37,613953;55,677754;0;;;;;Частная собственность;8800;220;40;55.677754;37.613953
7;"ГБОУ ДОДСН ""ДЮСШ"" РГШ-Столица"" ГЛС ""Ново-Переделкино""";;Проектируемый проезд 365, дом 9, стр. 1;37,379716;55,630186;0;;;;;Москомспорт;14000;200;70;55.630186;37.379716
