UIDNFTN;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;OKRUG;RAYON;ZAKAZ;AREA_SQM;X;Y;LAT;LON
16;"Парк ""Березовая роща"" (ул.Куусинена , д.15-19)";"Парк ""Березовая роща"" (ул.Куусинена , д.15-19)";"Парк ""Березовая роща"" (ул.Куусинена , д.15-19)";4176282.15829999980;7515979.64929999970;0;;;;;САО;Хорошевский;Префектура;800.00000000000;4176282.15829999980;7515979.64929999970;55.78624206115562;37.516180935965515
18;"ул.Башиловская, 41(Вятская ул,вл.41) Стадион ""Автомобилист""";"ул.Башиловская, 41(Вятская ул,вл.41) Стадион ""Автомобилист""";"ул.Башиловская, 41(Вятская ул,вл.41) Стадион ""Автомобилист""";4183041.47789999980;7518542.70309999960;0;;;;;САО;Савеловский;Префектура;800.00000000000;4183041.47789999980;7518542.70309999960;55.79918606105482;37.5769009370348
19;Дмитровское шоссе,89,к.4;Дмитровское шоссе,89,к.4;Дмитровское шоссе,89,к.4;4179303.59249999980;7532617.05179999950;0;;;;;САО;Сокол;Префектура;800.00000000000;4179303.59249999980;7532617.05179999950;55.87018805702351;37.543322941183725
20;пр.Мира,110/2;пр.Мира,110/2;пр.Мира,110/2;4190036.12660000010;7519797.41320000030;0;;;;;СВАО;Алексеевский;Префектура;1125.00000000000;4190036.12660000010;7519797.41320000030;55.805521061833026;37.639734935377376
99;Рублевское ш., д.24, к.3 пустырь;Рублевское ш., д.24, к.3 пустырь;Рублевское ш., д.24, к.3 пустырь;4166711.68780000000;7508015.54090000040;0;;;;;ЗАО;Кунцево;Префектура;1800.00000000000;4166711.68780000000;7508015.54090000040;55.74599406097386;37.43020793670186
100;ул. Дорогобужская, напротив вл.14, стр.35 (территория ООПТ «Природный заказник «Долина р. Сетунь»);ул. Дорогобужская, напротив вл.14, стр.35 (территория ООПТ «Природный заказник «Долина р. Сетунь»);ул. Дорогобужская, напротив вл.14, стр.35 (территория ООПТ «Природный заказник «Долина р. Сетунь»);4165538.15750000020;7501927.69710000050;0;;;;;ЗАО;Можайский;Префектура;800.00000000000;4165538.15750000020;7501927.69710000050;55.71520006288127;37.419665934653196
101;ул.Приречная, напротив вл.19 по Боровскому шоссе;ул.Приречная, напротив вл.19 по Боровскому шоссе;ул.Приречная, напротив вл.19 по Боровскому шоссе;4160081.16440000010;7488304.68360000010;0;;;;;ЗАО;Ново-Переделкино;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4160081.16440000010;7488304.68360000010;55.646203065185624;37.37064493158255
102;ул.Наташи Ковшовой,рядом с вл.10;ул.Наташи Ковшовой,рядом с вл.10;ул.Наташи Ковшовой,рядом с вл.10;4168726.79270000010;7495163.43609999960;0;;;;;ЗАО;Очаково-Матвеевское;Префектура;800.00000000000;4168726.79270000010;7495163.43609999960;55.68095606492471;37.44830993200961
103;Парк имени 50-летия Октября;Парк имени 50-летия Октября;Парк имени 50-летия Октября;4174900.79430000020;7495250.90490000040;0;;;;;ЗАО;Проспект Вернадского;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;1800.00000000000;4174900.79430000020;7495250.90490000040;55.68139906625292;37.50377193202419
104;ул. Мосфильмовская, д.41;ул. Мосфильмовская, д.41;ул. Мосфильмовская, д.41;4175705.52300000000;7500835.34339999970;0;;;;;ЗАО;Раменки;Префектура;1800.00000000000;4175705.52300000000;7500835.34339999970;55.70967206522214;37.511000932931985
105;Проектируемый проезд № 740 (напротив ул.Авиаторов);Проектируемый проезд № 740 (напротив ул.Авиаторов);Проектируемый проезд № 740 (напротив ул.Авиаторов);4164365.07230000010;7487226.68090000000;0;;;;;ЗАО;Солнцево;Префектура;800.00000000000;4164365.07230000010;7487226.68090000000;55.640738065966154;37.40912793100585
106;Парк Никулино;Парк Никулино;Парк Никулино;4170482.74610000010;7489559.61749999970;0;;;;;ЗАО;Тропарево-Никулино;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;3200.00000000000;4170482.74610000010;7489559.61749999970;55.65256406722818;37.464083929783826
107;Подходы к Олимпийской деревне-80;Подходы к Олимпийской деревне-80;Подходы к Олимпийской деревне-80;4171560.09640000020;7494332.63310000020;0;;;;;ЗАО;Тропарево-Никулино;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;3200.00000000000;4171560.09640000020;7494332.63310000020;55.6767480648743;37.47376193219223
108;парк Фили, пересечение ул.Новозаводская и Барклая;парк Фили, пересечение ул.Новозаводская и Барклая;парк Фили, пересечение ул.Новозаводская и Барклая;4173493.60490000020;7509192.58270000010;0;;;;;ЗАО;Филевский парк;Префектура;800.00000000000;4173493.60490000020;7509192.58270000010;55.751945062154746;37.49113093456749
109;ул. Кременчугская, д.40;ул. Кременчугская, д.40;ул. Кременчугская, д.40;4169934.38680000000;7501575.55040000010;0;;;;;ЗАО;Фили-Давыдково;Департамент природопользования и охраны окружающей среды города Москвы;0.00000000000;4169934.38680000000;7501575.55040000010;55.71341806424416;37.45915793438004
110;ул.Народного Ополчения, вл.11;ул.Народного Ополчения, вл.11;ул.Народного Ополчения, вл.11;4171545.84800000020;7513275.14910000000;0;;;;;СЗАО;Хорошево-Мневники;Префектура;1800.00000000000;4171545.84800000020;7513275.14910000000;55.772579060222256;37.47363393663729
111;Соловьиная роща, вл.7;Соловьиная роща, вл.7;Соловьиная роща, вл.7;4163138.66690000010;7536978.05360000020;0;;;;;СЗАО;Куркино;Префектура;800.00000000000;4163138.66690000010;7536978.05360000020;55.89216205197954;37.39811094385238
112;ул.Василия Петушкова, д.23;ул.Василия Петушкова, д.23;ул.Василия Петушкова, д.23;4163695.15279999980;7526582.91849999970;0;;;;;СЗАО;Южное Тушино;Префектура;1800.00000000000;4163695.15279999980;7526582.91849999970;55.839763055818636;37.403109941746045
113;ул.Вилиса Лациса, рядом с д.26;ул.Вилиса Лациса, рядом с д.26;ул.Вилиса Лациса, рядом с д.26;4164892.72789999980;7531057.14439999960;0;;;;;СЗАО;Северное Тушино;Департамент культуры города Москвы;0.00000000000;4164892.72789999980;7531057.14439999960;55.8623250540621;37.41386794190816
114;"ПКиО ""Северное Тушино""";"ПКиО ""Северное Тушино""";"ПКиО ""Северное Тушино""";4168988.50579999990;7530740.55950000040;0;;;;;СЗАО;Северное Тушино;Департамент культуры города Москвы;0.00000000000;4168988.50579999990;7530740.55950000040;55.860729054763006;37.45066094078745
115;ул.Твардовскго,д.16,к.3;ул.Твардовскго,д.16,к.3;ул.Твардовскго,д.16,к.3;4164796.21370000020;7518060.48080000000;0;;;;;СЗАО;Строгино;Префектура;1800.00000000000;4164796.21370000020;7518060.48080000000;55.79675105818217;37.413000940098215
116;Волоколамский проезд, д.5, к.1;Волоколамский проезд, д.5, к.1;Волоколамский проезд, д.5, к.1;4167046.87130000020;7524093.88910000030;0;;;;;СЗАО;Покровское - Стрешнево;Префектура;1800.00000000000;4167046.87130000020;7524093.88910000030;55.827206057089946;37.43321894131222
117;Ландшафтный парк Митино;Ландшафтный парк Митино;Ландшафтный парк Митино;4160191.14930000020;7528865.11950000000;0;;;;;СЗАО;Митино;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4160191.14930000020;7528865.11950000000;55.851273055239275;37.37163294274947
118;ул. Барышиха  33, к.1;ул. Барышиха  33, к.1;ул. Барышиха  33, к.1;4156913.23559999980;7527926.57890000010;0;;;;;СЗАО;Митино;Префектура;1800.00000000000;4156913.23559999980;7527926.57890000010;55.84654005400683;37.34218694298212
119;"У кинотеатра ""Электрон""";"У кинотеатра ""Электрон""";"У кинотеатра ""Электрон""";4142087.81840000020;7558935.85659999960;0;;;;;ЗелАО;Матушкино;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4142087.81840000020;7558935.85659999960;56.0026130428884;37.20900795434004
120;"Участок газона между ДЮСШ № 10 (Озёрная ал., д.4) и магазином ""Автозапчасти"" (Сосновая ал., д.1)";"Участок газона между ДЮСШ № 10 (Озёрная ал., д.4) и магазином ""Автозапчасти"" (Сосновая ал., д.1)";"Участок газона между ДЮСШ № 10 (Озёрная ал., д.4) и магазином ""Автозапчасти"" (Сосновая ал., д.1)";4144199.54900000010;7555958.71609999980;0;;;;;ЗелАО;Савёлки;Префектура;800.00000000000;4144199.54900000010;7555958.71609999980;55.987656044893235;37.22797795307927
121;У корп.901;У корп.901;У корп.901;4140167.77960000000;7554518.82760000040;0;;;;;ЗелАО;Старое Крюково;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4140167.77960000000;7554518.82760000040;55.98042004382588;37.191759952338614
122;У корпуса 1131;У корпуса 1131;У корпуса 1131;4137666.76480000000;7556781.06140000000;0;;;;;ЗелАО;Силино;Префектура;800.00000000000;4137666.76480000000;7556781.06140000000;55.991788043169834;37.16929295413212
123;Бульвар 20 мкр. у кор. 2034;Бульвар 20 мкр. у кор. 2034;Бульвар 20 мкр. у кор. 2034;4137550.43580000010;7552962.83339999990;0;;;;;ЗелАО;Крюково;Префектура;800.00000000000;4137550.43580000010;7552962.83339999990;55.97259904407088;37.16824795294526
