UIDNFTN;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;OKRUG;RAYON;ZAKAZ;AREA_SQM;X;Y;LAT;LON
62;Территория за кинотеатром «Спутник», Солдатская, 15;Территория за кинотеатром «Спутник», Солдатская, 15;Территория за кинотеатром «Спутник», Солдатская, 15;4197447.22140000020;7511748.63370000010;0;;;;;ЮВАО;Лефортово;Префектура;3125.00000000000;4197447.22140000020;7511748.63370000010;55.76486506489748;37.70630993268636
63;ул.Привольная,напротив д.41;ул.Привольная,напротив д.41;ул.Привольная,напротив д.41;4213527.65510000010;7496808.92019999960;0;;;;;ЮВАО;Выхино-Жулебино;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4213527.65510000010;7496808.92019999960;55.689289071800076;37.850762926366166
64;ул. Зарайская вл.51-55;ул. Зарайская вл.51-55;ул. Зарайская вл.51-55;4205361.14630000010;7504378.15330000040;0;;;;;ЮВАО;Рязанский;Префектура;1800.00000000000;4205361.14630000010;7504378.15330000040;55.72759806910175;37.7774019296368
65;ул. Гурьянова, вл. 83;ул. Гурьянова, вл. 83;ул. Гурьянова, вл. 83;4198650.47329999970;7493644.44630000000;0;;;;;ЮВАО;Печатники;Префектура;1800.00000000000;4198650.47329999970;7493644.44630000000;55.67326207012783;37.717118928410514
66;Капотня, 1-ый квартал;Капотня, 1-ый квартал;Капотня, 1-ый квартал;4206476.56699999980;7486967.51080000030;0;;;;;ЮВАО;Капотня;Префектура;1800.00000000000;4206476.56699999980;7486967.51080000030;55.63942407392823;37.78742192426713
67;Загорьевская ул,д.31;Загорьевская ул,д.31;Загорьевская ул,д.31;4196485.75389999990;7476087.97549999970;0;;;;;ЮАО;Бирюлево Восточное;Префектура;800.00000000000;4196485.75389999990;7476087.97549999970;55.58422507501345;37.69767292318201
68;Востряковский пр-зд,д.23,к.2;Востряковский пр-зд,д.23,к.2;Востряковский пр-зд,д.23,к.2;4192042.21380000000;7474409.28809999950;0;;;;;ЮАО;Бирюлево Западное;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4192042.21380000000;7474409.28809999950;55.57570107524379;37.65775592330773
69;Парк Братеево;Парк Братеево;Парк Братеево;4199944.45069999990;7486823.33270000010;0;;;;;ЮАО;Братеево;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;2800.00000000000;4199944.45069999990;7486823.33270000010;55.63869307208614;37.728742925167765
70;Коломенская наб,д.22;Коломенская наб,д.22;Коломенская наб,д.22;4196099.69830000030;7494082.69990000040;0;;;;;ЮАО;Даниловское;Префектура;1800.00000000000;4196099.69830000030;7494082.69990000040;55.675482069795834;37.694204926722016
71;Загородное ш.,д.2;Загородное ш.,д.2;Загородное ш.,д.2;4186937.43670000000;7498677.76609999970;0;;;;;ЮАО;Донской;Префектура;800.00000000000;4186937.43670000000;7498677.76609999970;55.6987510667965;37.6118989303982
72;Ореховый пр-зд,вл.41;Ореховый пр-зд,вл.41;Ореховый пр-зд,вл.41;4200243.12079999970;7482490.57789999990;0;;;;;ЮАО;Зябликово;Префектура;800.00000000000;4200243.12079999970;7482490.57789999990;55.616719073000496;37.73142592432516
73;ул.Борисовские пруды,д.2;ул.Борисовские пруды,д.2;ул.Борисовские пруды,д.2;4197652.04839999970;7485912.37299999970;0;;;;;ЮАО;Москворечье-Сабурово;Префектура;1800.00000000000;4197652.04839999970;7485912.37299999970;55.63407407177196;37.70814992493335
74;Каширский пр-зд,д.9,к.1;Каширский пр-зд,д.9,к.1;Каширский пр-зд,д.9,к.1;4188241.87820000020;7490761.08069999980;0;;;;;ЮАО;Нагатино-Садовники;Префектура;1800.00000000000;4188241.87820000020;7490761.08069999980;55.658653069133806;37.6236169277651
75;Парк 60-летия Октября;Парк 60-летия Октября;Парк 60-летия Октября;4193496.26970000010;7497673.56560000030;0;;;;;ЮАО;Нагатинский затон;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;2800.00000000000;4193496.26970000010;7497673.56560000030;55.69366706918195;37.67081792969708
76;Симферопольский б-р,15;Симферопольский б-р,15;Симферопольский б-р,15;4186298.68530000000;7490136.94390000030;0;;;;;ЮАО;Нагорный;Префектура;800.00000000000;4186298.68530000000;7490136.94390000030;55.65549006909156;37.606160928944476
77;Маршала Захарова,14,вл.3;Маршала Захарова,14,вл.3;Маршала Захарова,14,вл.3;4196708.94969999980;7483689.36469999980;0;;;;;ЮАО;Орехово-Борисово Северное;Префектура;800.00000000000;4196708.94969999980;7483689.36469999980;55.62280007298276;37.69967792516693
